[20:00:17.959] Sistema iniciado con 3 hilos
[20:00:17.968] Marcado inicial: [3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
[20:00:21.622] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:21.623] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:21.635] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:21.636] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:21.640] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:21.652] T11 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:21.656] T0 | Marcado: [0,1,0,2,0,0,1,0,0,0,0,0]
[20:00:21.661] T1 | Marcado: [0,0,1,3,0,0,1,0,0,0,0,0]
[20:00:21.724] T7 | Marcado: [0,0,1,2,0,0,0,0,1,0,0,0]
[20:00:21.725] T8 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:21.807] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:21.892] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:21.897] T2 | Marcado: [0,0,1,1,1,0,0,0,0,0,0,1]
[20:00:21.897] T3 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:21.979] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:21.983] T5 | Marcado: [0,0,1,0,0,0,0,1,0,0,0,2]
[20:00:21.983] T6 | Marcado: [0,0,1,0,0,0,1,0,0,0,0,3]
[20:00:21.997] T11 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
[20:00:22.000] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:22.009] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:22.088] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:22.088] T11 | Marcado: [2,0,1,1,0,0,1,0,0,0,0,0]
[20:00:22.088] T0 | Marcado: [1,1,0,1,0,0,1,0,0,0,0,0]
[20:00:22.089] T1 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:22.095] T0 | Marcado: [0,1,0,2,0,0,1,0,0,0,0,0]
[20:00:22.095] T1 | Marcado: [0,0,1,3,0,0,1,0,0,0,0,0]
[20:00:22.111] T7 | Marcado: [0,0,1,2,0,0,0,0,1,0,0,0]
[20:00:22.112] T8 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:22.201] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:22.285] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:22.287] T2 | Marcado: [0,0,1,1,1,0,0,0,0,0,0,1]
[20:00:22.287] T3 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:22.368] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:22.372] T5 | Marcado: [0,0,1,0,0,0,0,1,0,0,0,2]
[20:00:22.384] T6 | Marcado: [0,0,1,0,0,0,1,0,0,0,0,3]
[20:00:22.387] T11 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
[20:00:22.391] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:22.392] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:22.465] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:22.469] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:22.469] T11 | Marcado: [1,1,0,1,0,0,1,0,0,0,0,0]
[20:00:22.470] T1 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:22.477] T0 | Marcado: [0,1,0,2,0,0,1,0,0,0,0,0]
[20:00:22.477] T1 | Marcado: [0,0,1,3,0,0,1,0,0,0,0,0]
[20:00:22.493] T7 | Marcado: [0,0,1,2,0,0,0,0,1,0,0,0]
[20:00:22.503] T8 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:22.585] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:22.665] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:22.670] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:22.670] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
